text,topic
Argonaut founder rebuilds empire The founder of Argonaut games went into administration a week ago has bought back most of the group.,Politics
"Fallujans Get Grim Task: Grave Digging Residents will be paid \$5 a day for one of the first tasks that will prepare the city for the eventual return of its 250,000 citizens, most of whom fled before the Nov. 8 ground assault.",Politics
"House Panel Questions Role of French Bank (AP) AP - Lawmakers are questioning whether a French bank failed to comply with U.S. money-laundering laws, possibly helping Saddam Hussein manipulate the  #36;60 billion U.N. oil-for-food program. The bank denies any wrongdoing.",Politics
Powell Says U.S. Can't Hunt Iran Nukes in Caves  WASHINGTON (Reuters) - Secretary of State Colin Powell said  on Friday that Washington had no way to force Iran to allow  U.N. inspectors unrestricted access to suspected nuclear sites  despite U.S. doubts Tehran would come clean on its own.,Politics
"Illegal migrants' Social Security payments out of reach MEXICO CITY -- For the 14 years he worked as an undocumented migrant in the United States, Carmelo Rivera saw up to \$30 deducted each week from the \$300 to \$500 he earned as a vineyard worker. The deductions were supposed to pay for his retirement.",Politics
"South African delegates arrested Zimbabwean police arrested a delegation from the Congress of South African Trade Unions (COSATU) yesterday, prompting threats of a blockade at the main border crossing and raising tensions between the two countries #39; leaders.",Politics
"Haitians Left in Devasting Wake of Jeanne The death toll across Haiti from the weekend deluges brought by Tropical Storm Jeanne was at 620, with some 500 of them in Gonaives, but officials said they expected to find more dead.",Politics
"Karzai set for visit to Pakistan Afghan President Hamid Karzai is due to arrive in Pakistan on Monday for a two-day official visit, originally scheduled for last month.",Politics
"Canadian veterans lay wreaths to honour comrades who died 60 years ago in Italy (Canadian Press) Canadian Press - CASSINO, Italy (CP) - In the shadows of the Benedictine abbey where German forces held out for long months in the spring of 1944, Canadian war veterans paid tribute Tuesday to the comrades who died in some of the most bitter fighting of the Second World War.",Politics
Austria take 2-1 lead as Britain slump in doubles (AFP) AFP - Great Britain's chances of qualifying for the World Group of the Davis Cup were evaporating rapidly after Austria moved into a 2-1 lead following the doubles.,Politics
"Dutch nationality for Anne Frank  #39;tactless #39; AMSTERDAM - Posthumously awarding Dutch nationality to German-born diarist Anne Frank would be tactless, a spokesman for the Dutch Institute for War Documentation (NIOD) said on Monday.",Politics
Thais plan origami  #39;peace bombs #39; Military planes will drop an estimated one hundred million paper origami cranes on the country #39;s Muslim south. The  quot;peace bombing quot; of the paper birds has been scheduled to coincide with the ,Politics
No Kashmir solutions in India-Pakistan talks NEW DELHI -- The Indian and Pakistani foreign ministers ended two days of peace talks yesterday with promises of more negotiations on trust-building measures but no sign of progress toward resolving their pivotal dispute over the divided Himalayan region ,Politics
"Seoul Sees N.Korea Talks Movement; Japan Sees Sub  SEOUL (Reuters) - This week's talks between Japan and North  Korea show efforts to hold more six-party talks on the North's  nuclear plans are gathering pace and most countries want a  meeting before the year ends, South Korea said on Wednesday.",Politics
"Yukos Stock Gains on Comments From Putin (AP) AP - Despite reports that the beleaguered oil giant Yukos could receive yet another back tax bill in addition to the  #36;7.5 billion in claims it already faces, the company's stock rallied slightly Thursday on a new statement by President Vladimir Putin that he is not seeking the company's bankruptcy.",Politics
"Deadlock in peace talks compounds Sri Lanka's economic woes (AFP) AFP - The latest failed attempt to revive peace talks is bad news for Sri Lanka's economy, already in trouble from high inflation, a foreign exchange crisis and a falling rupee.",Politics
"Diverted Greek plane leaves Ireland for New York after bomb alert DUBLIN, Sept 29 (AFP) - An Olympic Airlines plane diverted to Ireland following a bomb alert, the second faced by the Greek carrier in four days, resumed its journey to New York Wednesday after no device was found on board, airport officials said.",Politics
"Blast carnage in Iraq : A car bomb brought fresh carnage to the heart of Baghdad today, killing six people and wounding eight near the education ministry, officials said.",Politics
"Weekly Report On Israeli Human Rights Violations 33 Palestinians, 23 of whom are civilians, including 7 children and a mentally disabled man, were killed by Israeli Occupation Forces (IOF).",Politics
Thai government drops origami peace bombs Bangkok: The Thai government has begun dropping an estimated one hundred million paper origami birds in an unusual peace bid. The birds are being dropped by military planes over the countrys Muslim south after a surge of violence in the area.,Politics
"Ex-head of oil-for-food program accused of accepting bribes NEW YORK -- The top US arms inspector accused the former head of the \$60 billion UN oil-for-food program of accepting bribes in the form of vouchers for Iraqi oil sales from Saddam Hussein's government while running the program, according to a report released yesterday.",Politics
"Four Confirmed Dead in Peru Police Shootout  LIMA, Peru (Reuters) - Four police officers died on Sunday  in a shootout with an armed group that took over a police  station in a southern Peruvian town on New Year's Day and held  10 hostages, doctors said.",Politics
Miss World beauties defend relevance of contest (AFP) AFP - Miss World contestants united in defending the pageant's relevance and angrily denied it degraded women.,Politics
Grand ayatollah brokers deal The senior Shiite cleric #39;s spokesman says that Muqtada al-Sadr #39;s army will abandon the Imam Ali shrine today. BY HANNAH ALLAM.,Politics
"Report: Islamist Group Frees 18 Iraqi Soldiers  DUBAI (Reuters) - An Islamist group has released 18 Iraqi  soldiers it had captured and threatened to kill unless an aide  to Shi'ite rebel cleric Moqtada al-Sadr was released, Arabic  television Al Jazeera reported Monday.",Politics
"House Left to Wrestle With 9/11 Bill WASHINGTON - Senate passage of a bill to enact the Sept. 11 commission's terror-fighting recommendations now puts the focus on the House, where getting Republicans and Democrats to agree on the legislation may be more difficult...",Politics
"Reach of missiles now 2,000 km: Iran TEHRAN - Iran #39;s former president Hashemi Rafsanjani said Tuesday that his country has created missiles that can now reach targets 2,000 kilometres away, a substantial increase from its previous range.",Politics
"Insurgents kill 23 Iraqis countrywide Guerrillas have shot dead 17 Iraqis working for US forces north of Baghdad and killed six other people, including three Iraqi National Guards, taking the toll from three days of violence to more than 70.",Politics
"Video: Kidnapped Turkish Driver Beheaded CAIRO, Egypt Oct. 14, 2004 - A man identified as a Turkish truck driver kidnapped in Iraq was beheaded in a video shown on an Islamic Web site Thursday.",Politics
"Families of Kidnapped Japanese Say N. Korea Lying  TOKYO (Reuters) - The families of Japanese kidnapped  decades ago by North Korean agents lashed out at the secretive  communist state on Monday, saying it had lied about the fate of  their loved ones.",Politics
"BoSox, Astros Play for Crucial Game 4 Wins The Boston Red Sox entered this AL championship series hoping to finally overcome their bitter rivals from New York following a heartbreaking seven-game defeat last October. Instead, they've been reduced to trying to prevent the Yankees from completing a humiliating sweep in their own ballpark...",Politics
"French Jewish families demand Arafat interrogation PARIS, Oct 29 (AFP) - The relatives of six French citizens killed in Palestinian attacks in Israel several years ago have called for French authorities to question Palestinian leader Yasser Arafat while he receives treatment in Paris for a serious medical ",Politics
"Falluja negotiator dismisses threat negotiator for the rebel-held city says its people are being asked to chase shadows. top enemy in Iraq, or face military action. told Arabic Al Jazeera television on Thursday, adding that the government had now halted peace talks.",Politics
"Hamdi Returned to Saudi Arabia RIYADH, Saudi Arabia - Yaser Esam Hamdi, a Saudi-American citizen who was captured on the Afghanistan battlefield and held without charges for nearly three years, has been freed and returned Monday to Saudi Arabia.    Interior Ministry spokesman Brig...",Politics
"Typhoon kills 21, leaves trail of havoc At least 21 people were dead Wednesday as massive Typhoon Tokage churned north across the Japanese archipelago after hitting Kochi Prefecture.",Politics
Stadium 'to stage tsunami gig' The Millennium Stadium is trying to stage a 'Live Aid' style concert to raise more than 1m for the Tsunami disaster appeal.,Politics
Sudan Rejects US Charges of Genocide in Darfur Sudan #39;s Foreign Minister has rejected US assertion that the violence in Western Darfur region fits the definition of genocide.,Politics
"Al Jazeera Reports Journalist Executed The Iraqi kidnappers of Italian journalist Enzo Baldoni killed him because Italy refused to heed their earlier deadline to withdraw troops from Iraq, says Al Jazeera television.",Politics
"Bush's guard service under new scrutiny (AFP) AFP - US President George W. Bush faced fresh questions about his Vietnam War-era service as he and his Democratic rival, Senator John Kerry, campaigned in key states ahead of the November 2 election.",Politics
"Arafat hopes for US  #39;policy of peace #39; PARIS Yasser Arafat, the Palestinian leader, who is having medical tests in a French military hospital, hopes that President George W. Bush will adopt a new  quot;policy of peace quot; in the Middle East, an aide said Wednesday.",Politics
"U.S., Militants Battle in Central Baghdad (AP) AP - A gunbattle between U.S. forces and militants erupted in central Baghdad on Friday, witnesses said.",Politics
French Official Says No Sign Arafat Poisoned France #39;s health minister says there is no indication the death of Palestinian terrorist leader Yasser Arafat was the result of poisoning - amid rumors in the Arab world that Arafat was poisoned.,Politics
"Criminals Prey on Tsunami Victims Across the World  STOCKHOLM (Reuters) - Thieves, rapists, kidnappers and  hoaxers are preying on tsunami survivors and families of  victims in Asian refugee camps, hospitals and in the home  countries of European tourists hit by the wave.",Politics
"Student Collects Fake Parking Fines MADISON, Wis. - A fraternity member has been busted for apparently finding a unique way to supplement his college income - fake parking tickets...",Politics
Standoff bolstered Sadr's support Interviews with Iraqi Shiite clerics reveal that moderates are increasingly supporting Sadr's anti-US campaign.,Politics
Abuse  #39;ringleader #39; gets 8-year sentence A military court sentenced Staff Sgt. Ivan Frederick yesterday to eight years in prison for abusing Iraqi prisoners last year in the grim chambers of Abu Ghraib.,Politics
"Low turnout for Lithuania #39;s elections VILNIUS, Lithuania - Lithuania #39;s main parties formed an alliance to try to keep a Russian-born tycoon and his populist promises out of the government in Sunday #39;s second round of parliamentary elections in this Baltic country.",Politics
"Ivan Lashes Jamaica; Death Toll Hits 37 KINGSTON, Jamaica - Hurricane Ivan slammed coastal areas of Jamaica with waves two-stories high and torrential rains, but the mighty storm shifted tack and may now spare the island the worst of its fury. The death toll elsewhere in the Caribbean rose to 37...",Politics
"A Biographical Behemoth Is Ready to Bend Shelves Walk up St. Giles, the great piazza that runs north of St. Mary Magdalen #39;s church here, with St. John #39;s College to your right and the Ashmolean Museum to your left, and ",Politics
"Hurricane Ivan Destroys Homes in Grenada ST. GEORGE'S, Grenada - Packing ferocious winds, Hurricane Ivan made a direct hit on Grenada Tuesday, blasting apart scores of homes and forcing hundreds of evacuations before growing even stronger as it moved in Jamaica's direction...",Politics
"Iraq nuclear equipment vanished - UN The UN #39;s nuclear watchdog raised concerns on Monday about material and equipment from Saddam Hussein #39;s regime, which could be used to make a nuclear weapon and have since vanished in Iraq.",Politics
FM Shalom meets with German FM Fischer Deputy Prime Minister and Foreign Minister Silvan Shalom began a joint press conference with visiting German Foreign Minister Joschka Fischer today by praising the release of Israeli Azzam Azzam by Egypt.,Politics
"Britain Arrests Radical Cleric Al-Masri (AP) AP - Police arrested a radical Muslim cleric Thursday on suspicion of preparing or instigating ""acts of terrorism,"" a move that could delay U.S. attempts to extradite the suspect for allegedly trying to establish a terrorist training camp in Oregon and on other charges.",Politics
"US sweeps Iraqi Sunni 'hotspots' Thousands of US-led troops target lawless areas south of Baghdad known as Iraq's ""triangle of death"".",Politics
"Musharraf spends a day with Karzai ISLAMABAD: President Gen. Pervez Musharraf left on a brief visit to neighbouring Afghanistan on Saturday to congratulate Hamid Karzai on his victory in the war-ravaged country #39;s landmark presidential elections, an official said.",Politics
"Israeli Settler Pay Approved, Sharon Faces Threats  JERUSALEM (Reuters) - Israel's security cabinet approved  cash advances on Tuesday to entice Gaza settlers to evacuate  their homes, while police investigated death threats against  Prime Minister Ariel Sharon sparked by his pullout plan.",Politics
"Dutch PM: EU must integrate immigrants better Dutch Prime Minister Jan Peter Balkenende urged the European Union to work harder on integrating ethnic minorities into European society, citing mounting tensions and a spate of reprisal attacks in his country following a murder allegedly committed by a ",Politics
"US wonders if North Korea is preparing for nuclear test WASHINGTON : The US intelligence community is in the grip of an internal debate on whether new data on North Korea should be interpreted as a sign the country is preparing for its first nuclear weapons test, US administration officials said.",Politics
"Arab countries say US support of Israel makes political reform a difficult task RABAT, Morocco -- Senior Arab officials attending a US- sponsored conference to promote democracy in the Middle East emphatically rejected yesterday the Bush administration's assertion that greater democracy in the region would help end terrorism. They argued that the administration's strong support of Israel made it difficult to undertake political reform or to stop extremists driven by hatred of US ...",Politics
"Spain poised to sanction same-sex marriages MADRID Spains cabinet proposed legislation Friday allowing same-sex marriages and for homosexuals to adopt children, pressing ahead with its liberal agenda despite vociferous opposition from the influential Roman Catholic Church.",Politics
"Bush Pushes MLB to Address Steroid Issue (AP) AP - President Bush called on Major League Baseball on Wednesday to take ""strong steps"" to confront the use of steroids and other illegal performance-enhancing substances by players.",Politics
"All 2,749 WTC Victims Honored in N.Y. NEW YORK - Their voices breaking, parents and grandparents of those lost on Sept. 11 stood at the World Trade Center site Saturday and marked the third anniversary of the attacks by reciting the names of the 2,749 people who died there...",Politics
German FM meets with Palestinian leadership ahead of talks in Israel (AFP) AFP - German Foreign Minister Joschka Fischer arrived in the West Bank for talks with the new Palestinian leadership ahead of a meeting later in the day with Israeli Prime Minister Ariel Sharon.,Politics
"1,000 People May Be in Russian School BESLAN, Russia - Heavily armed militants who seized a school three days ago are holding at least 1,000 students, teachers and parents hostage inside the building, far more than previously thought, a released hostage and a regional official said.    Russian officials had said that about 350 people were being held by raiders who seized the school in the North Ossetian city of Beslan on Wednesday...",Politics
Summit day important in African history: AU official The African Union on Friday hailed the convening of the inaugural summit of the International Conference on the Great Lakes Region as an important event in history.,Politics
"N.C. Elections Board OKs Most Results (AP) AP - The state elections board certified nearly all results from the Nov. 2 election on Tuesday, but withheld approval of the outcome of two statewide races that are the subject of protests.",Politics
"Zhang Readies Another Martial-Arts Saga TORONTO - A few years back, Zhang Yimou was a bit miffed that fellow filmmaker Ang Lee was faster on the draw in elevating the martial-arts epic to serious cinema. But now that Lee's ""Crouching Tiger, Hidden Dragon"" has broken the genre into the mainstream among Western audiences, Zhang is happy to follow his lead...",Politics
"Europe lifts weapons ban from Libya Two days after the American trade embargo was lifted from Libya, the European Union yesterday approved to lift the economic sanctions imposed on Tripoli in addition to lifting arms sales to it.",Politics
"Eyre blames sexual misconduct crisis, pandemic for shrinking military",Politics
"Two Palestinians and one Israeli killed in Gaza Thursday, October 21: Israeli troops killed two Palestinian gunmen on Thursday while a soldier died in a militant attack on the territory #39;s border with Egypt, the army said.",Politics
"Commander: Osama Probably Not in Pakistan Region (Reuters) Reuters - Osama bin Laden is unlikely\to be hiding in Pakistan's tribal region near the Afghan\border, the top military commander in the area said on Tuesday.",Politics
Royal approval for Woman in White Prince Charles attends the premiere of Andrew Lloyd Webber's musical Woman in White.,Politics
"WILL PUTIN PARDON BUDANOV? Governor of the Ulyanovsk Region General Vladimir Shamanov, former commander of the 58th Caucasian Army, has signed an appeal for a pardon of his former subordinate, Colonel Yuri Budanov.",Politics
"China battles for North Korea nuclear talks  quot;We believe the six parties have the willingness to continue to promote the procedure of peaceful talks, quot; China #39;s Foreign Ministry said.  quot;We ...",Politics
"Protesters Seek Resignations After Fire Thousands of Argentines angered over perceived security lapses in a nightclub fire that killed 183 people, many of them teenagers, marched through capital streets Monday to demand the resignations of key city officials.",Politics
"Arkansas Is 2004 Campaign Battleground (AP) AP - Arkansas may still be Clinton country, but it's no longer Democratic terrain.",Politics
Bush: WMD Report Bolsters War Decision President Bush said today that he was right to order the invasion of Iraq last year despite a new report by his chief U.S. weapons inspector that shows the country did not possess the weapons of mass destruction that were the original rationale for the war.,Politics
"EU Leaders Poised To Offer Entry Talks To Turkey EU leaders were poised on Thursday to set a date to start accession talks with Turkey, as Turkish Prime Minister Tayyip Erdogan arrived in Brussels in an optimistic mood for a spate of last-minute diplomacy.",Politics
"Blast near Afghan town kills 2 US troops KABUL, Afghanistan -- A bomb ripped through a US patrol in southern Afghanistan yesterday, killing two American soldiers and wounding another, a reminder of the country's insecurity after a newly resolved hostage drama.",Politics
"Yasser Arafat #39;s nephew hands over Palestinian leader #39;s medical &lt;b&gt;...&lt;/b&gt; (Ramallah, West Bank-AP) Dec. 11, 2004 - Yasser Arafat #39;s nephew has given Palestinian leaders his uncle #39;s medical records.",Politics
"3 Westerners Abducted in Baghdad Iraqi authorities say unidentified gunmen abducted two Americans and one Briton from a house in Baghdad, Thursday. Earlier, officials identified all three as British nationals.",Politics
"Poll: Fla. Voters Had No Voting Problems (AP) AP - Most Florida voters had no problem casting a ballot on Election Day and many say they are confident their vote was counted correctly, a poll shows.",Politics
Court to hear medal appeal  Britain will find out on Saturday whether its equestrian medals will be upgraded.,Politics
Passenger Cat Stevens to Be Deported WASHINGTON - Homeland Security officials said Yusuf Islam - formerly known as singer Cat Stevens - will be deported Wednesday after being denied entry to the U.S. for being on a government watch list...,Politics
Bush Immigration Plan Meets GOP Opposition (washingtonpost.com) washingtonpost.com - President Bush's plan to liberalize the nation's immigration laws to allow millions of undocumented workers the opportunity for legal status appears to be on a collision course with newly aroused sentiment among House Republicans pushing for a crackdown on illegal immigration.,Politics
"Bush, Kerry Open Final Month Even in Cash (AP) AP - President Bush and John Kerry began October neck and neck in campaign cash, each with just under half of the  #36;75 million in government money they received to cover campaign costs.",Politics
"Crucial Senate races costly, caustic (USATODAY.com) USATODAY.com - Money and mud are flying in the final days of nine close contests that will determine which party controls the Senate next year.",Politics
"Baghdad hit by several bomb blasts A suicide bomber has killed two Iraqi police and a US soldier after he blew up his car west of Baghdad, the US military says. An Iraqi doctor said on Thursday around 60 people were wounded.",Politics
"New Orleans Urges People to Take Shelter NEW ORLEANS - With 135-mph Hurricane Ivan closing in with frightening intensity, this flood-prone city scrambled Wednesday to get people out of harm's way, putting the frail and elderly in the cavernous Louisiana Superdome and urging others to move to higher floors in tall buildings.    Ivan made a slight turn north on a path that could bring it ashore early Thursday at the Alabama-Mississippi line, near Mobile, Ala., but forecasters said everyone from New Orleans to the Panhandle should be worried...",Politics
Zimbabwean Opposition to boycott election The Movement for Democratic Change (MDC) is calling on the Government to introduce electoral reform. The MDC says it will not take part in Zimbabwe #39;s 2005 general election because the poll will not be free and fair.,Politics
"A Cautious Reformer as Indonesia's Next President Susilo Bambang Yudhoyono is considered a steady, broadly educated man who supports the secular tradition of Indonesia.",Politics
"UN Lacks Right to Inspect Sites in Iran -- Diplomats (Reuters) Reuters - Inspectors from the U.N. nuclear\watchdog would like to visit a secret military site in Iran\that an exile group said was a nuclear weapons site, but they\lack the legal authority to go there, U.N. diplomats told\Reuters.",Politics
"Giving doctors more support crucial to health reform, council head says (Canadian Press) Canadian Press - HALIFAX (CP) - Giving family doctors more support by spreading out the burden of primary care is crucial to reforming Canada's health-care system, says the head of a council evaluating nationwide efforts to improve medicare.",Politics
"US bolsters force for Afghan poll The US is to send up to 1,100 extra troops to Afghanistan to provide security for next month's elections.",Politics
British foreign minister arrives in troubled Darfur (AFP) AFP - British Foreign Secretary Jack Straw arrived in Sudan's violence-plagued western region of Darfur to see the plight of refugees driven from their homes by state-sponsored militias.,Politics
"Powell Urges Europe To Reconcile With U.S. Secretary of State Colin L. Powell urged Europeans on Wednesday to put aside their differences with the United States over the Iraq war, arguing that Americans and Europeans have common values and face similar threats that should outweigh the controversies of recent years.",Politics
"DR Congo 'fighting Rwanda troops' The DR Congo government says its troops are battling Rwandan soldiers and not Congolese rebels, as earlier reported.",Politics
"Saga of Britain's official cats revealed under new Freedom of Information Act (Canadian Press) Canadian Press - LONDON (AP) - Now it can be told: Britain's Home Office had not one official cat, but a whole dynasty of mouse catchers, one of which nearly insulted the Queen.",Politics
US-Led Forces Widen Control in Rebel Iraqi City US and Iraqi forces tightened their grip on the rebel stronghold of Samarra on Saturday with one of the largest offensives since the fall of Saddam Hussein.,Politics
"Signatures with Russia after December 17 Agreements concerning significant issues, which were reached as a consensus between Ankara and Moscow during the historical visit of Russian President Vladimir Putin last week, will be left until after the December 17 Summit in order to avoid reactions.",Politics
"Israeli Airborne Attack Kills Inventor of Qassam Rocket Adnan Al-Gul, the inventor of the Qassam rockets used by Palestinians to attack Israel, was killed yesterday in an air attack on Gaza.",Politics
"More people dead in Gaza fighting Three Palestinian fighters have been killed by the Israel army after they entered a Jewish town in southern Gaza. Israeli tanks also shelled the north Gaza town of Beit Lahiya early on Wednesday, killing three Palestinians and injuring ten children.",Politics
"Pakistan in  #39;al-Qaeda #39; arrests At least five suspected terrorists, with alleged links to al Qaeda, have been arrested in Pakistan. It is claimed they had been plotting to launch suicide attacks on government leaders and the US Embassy.",Politics
France Says Hostages Still Alive a Few Days Ago (Reuters) Reuters - France said on Sunday two French\reporters held hostage with their Syrian driver in Iraq were\still alive a few days ago.,Politics
"Kufuor's Party Strengthens Majority in Ghana  ACCRA, Dec 11 (Reuters) - The governing party in Ghana  widened its majority in parliament at elections last week which  also gave President John Kufuor a second and final four-year  mandate in the world's number two cocoa grower.",Politics
"US soldier Jenkins found guilty of desertion A US soldier who vanished into communist North Korea 40 years has been found guilty of desertion after tearfully confessing he had been scared, drunk and had wanted to leave the army.",Politics
